alpha,m,fitting
-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.199999999999999289e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-1.099999999999999201e+00,0.000000000000000000e+00
-2.000000000000000000e+00,-9.999999999999991118e-01,2.290432913269771845e-02
-2.000000000000000000e+00,-8.999999999999990230e-01,2.375970200527597470e-02
-2.000000000000000000e+00,-7.999999999999989342e-01,2.428301272252593457e-02
-2.000000000000000000e+00,-6.999999999999988454e-01,2.588113789381474641e-02
-2.000000000000000000e+00,-5.999999999999987566e-01,3.169535213996008127e-02
-2.000000000000000000e+00,-4.999999999999986677e-01,3.779312365291039727e-02
-2.000000000000000000e+00,-3.999999999999985789e-01,4.577161883035345963e-02
-2.000000000000000000e+00,-2.999999999999984901e-01,7.722612541765164207e-02
-2.000000000000000000e+00,-1.999999999999984013e-01,7.860776612342669500e-02
-2.000000000000000000e+00,-9.999999999999831246e-02,1.059240103182573361e-01
-2.000000000000000000e+00,1.776356839400250465e-15,1.313594771403634176e-01
-2.000000000000000000e+00,1.000000000000018652e-01,1.489658787973184850e-01
-2.000000000000000000e+00,2.000000000000019540e-01,1.680161955851222633e-01
-2.000000000000000000e+00,3.000000000000020428e-01,1.402818704931439175e-01
-2.000000000000000000e+00,4.000000000000021316e-01,1.296463039957674590e-01
-2.000000000000000000e+00,5.000000000000022204e-01,1.295794409815584636e-01
-2.000000000000000000e+00,6.000000000000023093e-01,1.063603452492808826e-01
-2.000000000000000000e+00,7.000000000000023981e-01,1.057307420189521757e-01
-2.000000000000000000e+00,8.000000000000024869e-01,1.032786727615912087e-01
-2.000000000000000000e+00,9.000000000000025757e-01,9.964684734089494789e-02
-2.000000000000000000e+00,1.000000000000002665e+00,9.533187724229053028e-02
-2.000000000000000000e+00,1.100000000000002753e+00,9.068549867297595601e-02
-2.000000000000000000e+00,1.200000000000002842e+00,8.594239599419012388e-02
-2.000000000000000000e+00,1.300000000000002931e+00,8.125199053748100031e-02
-2.000000000000000000e+00,1.400000000000003020e+00,7.670512784971021680e-02
-2.000000000000000000e+00,1.500000000000003109e+00,7.235380281266561020e-02
-2.000000000000000000e+00,1.600000000000003197e+00,6.822482932491930052e-02
-2.000000000000000000e+00,1.700000000000003286e+00,6.432899016307562501e-02
-2.000000000000000000e+00,1.800000000000003375e+00,6.066704609042637003e-02
-2.000000000000000000e+00,1.900000000000003464e+00,5.723364105568679028e-02
-1.899999999999999911e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.199999999999999289e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-1.099999999999999201e+00,0.000000000000000000e+00
-1.899999999999999911e+00,-9.999999999999991118e-01,2.345964934287835674e-02
-1.899999999999999911e+00,-8.999999999999990230e-01,2.424059882668540278e-02
-1.899999999999999911e+00,-7.999999999999989342e-01,2.478211766566693411e-02
-1.899999999999999911e+00,-6.999999999999988454e-01,2.815415276255467739e-02
-1.899999999999999911e+00,-5.999999999999987566e-01,3.443023469537184744e-02
-1.899999999999999911e+00,-4.999999999999986677e-01,4.084018163006890301e-02
-1.899999999999999911e+00,-3.999999999999985789e-01,4.855637353951925556e-02
-1.899999999999999911e+00,-2.999999999999984901e-01,8.014599612593326095e-02
-1.899999999999999911e+00,-1.999999999999984013e-01,8.124649553203371066e-02
-1.899999999999999911e+00,-9.999999999999831246e-02,1.114047132858484168e-01
-1.899999999999999911e+00,1.776356839400250465e-15,1.368733239885611408e-01
-1.899999999999999911e+00,1.000000000000018652e-01,1.543844674798633132e-01
-1.899999999999999911e+00,2.000000000000019540e-01,1.737711620423625647e-01
-1.899999999999999911e+00,3.000000000000020428e-01,1.921155671477645099e-01
