alpha,m,fitting
1.776356839400250465e-15,-2.000000000000000000e+00,5.658561620220532440e-01
1.776356839400250465e-15,-1.899999999999999911e+00,5.658561620220535771e-01
1.776356839400250465e-15,-1.799999999999999822e+00,5.658561620220534660e-01
1.776356839400250465e-15,-1.699999999999999734e+00,5.658561620220537991e-01
1.776356839400250465e-15,-1.599999999999999645e+00,5.658561620220537991e-01
1.776356839400250465e-15,-1.499999999999999556e+00,5.658561620220540211e-01
1.776356839400250465e-15,-1.399999999999999467e+00,5.658561620220536881e-01
1.776356839400250465e-15,-1.299999999999999378e+00,5.658561620220534660e-01
1.776356839400250465e-15,-1.199999999999999289e+00,5.658561620220534660e-01
1.776356839400250465e-15,-1.099999999999999201e+00,5.658561620220536881e-01
1.776356839400250465e-15,-9.999999999999991118e-01,5.658561620220532440e-01
1.776356839400250465e-15,-8.999999999999990230e-01,5.658561620220535771e-01
1.776356839400250465e-15,-7.999999999999989342e-01,5.658561620220534660e-01
1.776356839400250465e-15,-6.999999999999988454e-01,5.658561620220530219e-01
1.776356839400250465e-15,-5.999999999999987566e-01,5.658561620220532440e-01
1.776356839400250465e-15,-4.999999999999986677e-01,5.658561620220532440e-01
1.776356839400250465e-15,-3.999999999999985789e-01,5.658561620220532440e-01
1.776356839400250465e-15,-2.999999999999984901e-01,5.658561620220531330e-01
1.776356839400250465e-15,-1.999999999999984013e-01,5.658561620220532440e-01
1.776356839400250465e-15,-9.999999999999831246e-02,5.658561620220534660e-01
1.776356839400250465e-15,1.776356839400250465e-15,5.667918798509666845e-01
1.776356839400250465e-15,1.000000000000018652e-01,5.658561620220532440e-01
1.776356839400250465e-15,2.000000000000019540e-01,5.658561620220530219e-01
1.776356839400250465e-15,3.000000000000020428e-01,5.658561620220529109e-01
1.776356839400250465e-15,4.000000000000021316e-01,5.658561620220530219e-01
1.776356839400250465e-15,5.000000000000022204e-01,5.658561620220530219e-01
1.776356839400250465e-15,6.000000000000023093e-01,5.658561620220530219e-01
1.776356839400250465e-15,7.000000000000023981e-01,5.658561620220527999e-01
1.776356839400250465e-15,8.000000000000024869e-01,5.658561620220530219e-01
1.776356839400250465e-15,9.000000000000025757e-01,5.658561620220527999e-01
1.776356839400250465e-15,1.000000000000002665e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.100000000000002753e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.200000000000002842e+00,5.658561620220529109e-01
1.776356839400250465e-15,1.300000000000002931e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.400000000000003020e+00,5.658561620220526889e-01
1.776356839400250465e-15,1.500000000000003109e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.600000000000003197e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.700000000000003286e+00,5.658561620220530219e-01
1.776356839400250465e-15,1.800000000000003375e+00,5.658561620220527999e-01
1.776356839400250465e-15,1.900000000000003464e+00,5.658561620220527999e-01
1.000000000000018652e-01,-2.000000000000000000e+00,7.946452379030877200e-01
1.000000000000018652e-01,-1.899999999999999911e+00,7.898747183290291130e-01
1.000000000000018652e-01,-1.799999999999999822e+00,7.851738609284242276e-01
1.000000000000018652e-01,-1.699999999999999734e+00,7.805677219957773971e-01
1.000000000000018652e-01,-1.599999999999999645e+00,7.760823166154936503e-01
1.000000000000018652e-01,-1.499999999999999556e+00,7.717434616990026530e-01
1.000000000000018652e-01,-1.399999999999999467e+00,7.675745520405973243e-01
1.000000000000018652e-01,-1.299999999999999378e+00,7.635923994129876213e-01
1.000000000000018652e-01,-1.199999999999999289e+00,7.597997065520445403e-01
1.000000000000018652e-01,-1.099999999999999201e+00,7.561720870876932343e-01
1.000000000000018652e-01,-9.999999999999991118e-01,7.526372992146116436e-01
1.000000000000018652e-01,-8.999999999999990230e-01,7.490462250189630078e-01
1.000000000000018652e-01,-7.999999999999989342e-01,7.451428626934671895e-01
1.000000000000018652e-01,-6.999999999999988454e-01,7.405583835614296673e-01
1.000000000000018652e-01,-5.999999999999987566e-01,7.348748746357532946e-01
1.000000000000018652e-01,-4.999999999999986677e-01,7.277887373671523275e-01
1.000000000000018652e-01,-3.999999999999985789e-01,7.193097935229767481e-01
1.000000000000018652e-01,-2.999999999999984901e-01,7.098373330008089788e-01
1.000000000000018652e-01,-1.999999999999984013e-01,7.000276369886113681e-01
1.000000000000018652e-01,-9.999999999999831246e-02,6.905539693018831748e-01
1.000000000000018652e-01,1.776356839400250465e-15,6.829472335607216227e-01
1.000000000000018652e-01,1.000000000000018652e-01,6.743862273298847354e-01
1.000000000000018652e-01,2.000000000000019540e-01,6.680128049500485554e-01
1.000000000000018652e-01,3.000000000000020428e-01,6.627186619437739346e-01
1.000000000000018652e-01,4.000000000000021316e-01,6.583590103287357831e-01
1.000000000000018652e-01,5.000000000000022204e-01,6.547739840720734339e-01
1.000000000000018652e-01,6.000000000000023093e-01,6.518157991217961023e-01
1.000000000000018652e-01,7.000000000000023981e-01,6.493594615306383933e-01
1.000000000000018652e-01,8.000000000000024869e-01,6.473041665233695285e-01
1.000000000000018652e-01,9.000000000000025757e-01,6.455705129941315956e-01
1.000000000000018652e-01,1.000000000000002665e+00,6.440964460090973231e-01
1.000000000000018652e-01,1.100000000000002753e+00,6.428333019984032726e-01
1.000000000000018652e-01,1.200000000000002842e+00,6.417424691425402949e-01
1.000000000000018652e-01,1.300000000000002931e+00,6.407927622244065091e-01
1.000000000000018652e-01,1.400000000000003020e+00,6.399584442704135956e-01
1.000000000000018652e-01,1.500000000000003109e+00,6.392177784839216947e-01
1.000000000000018652e-01,1.600000000000003197e+00,6.385519945317735813e-01
1.000000000000018652e-01,1.700000000000003286e+00,6.379445702735681012e-01
1.000000000000018652e-01,1.800000000000003375e+00,6.373807494802115059e-01
1.000000000000018652e-01,1.900000000000003464e+00,6.368472329784118369e-01
2.000000000000019540e-01,-2.000000000000000000e+00,8.908864638462421492e-01
2.000000000000019540e-01,-1.899999999999999911e+00,8.871678077253574157e-01
2.000000000000019540e-01,-1.799999999999999822e+00,8.833420786572381278e-01
2.000000000000019540e-01,-1.699999999999999734e+00,8.794249167475938211e-01
2.000000000000019540e-01,-1.599999999999999645e+00,8.754349271569691338e-01
2.000000000000019540e-01,-1.499999999999999556e+00,8.713940849491637053e-01
2.000000000000019540e-01,-1.399999999999999467e+00,8.673279903450480388e-01
2.000000000000019540e-01,-1.299999999999999378e+00,8.632659191406804045e-01
2.000000000000019540e-01,-1.199999999999999289e+00,8.592404955704311398e-01
2.000000000000019540e-01,-1.099999999999999201e+00,8.552866258793354604e-01
2.000000000000019540e-01,-9.999999999999991118e-01,8.514390131535420903e-01
2.000000000000019540e-01,-8.999999999999990230e-01,8.477270668269361042e-01
2.000000000000019540e-01,-7.999999999999989342e-01,8.441653209644952582e-01
2.000000000000019540e-01,-6.999999999999988454e-01,8.407368530595367151e-01
